video,codec,target_bitrate,target_bitrate_kbps,actual_bitrate_kbps,width,height,resolution,fps,duration_s,original_size_kb,encoded_size_kb,compression_ratio,bitrate_savings_pct,encoding_time_s,psnr_mean,psnr_std,ssim_mean,ssim_std,motion_complexity,frames_compared
BigBuckBunny_720p,H265,8M,8000,7799.415,1280,720,1280x720,30.0,10.0,1931.77,9520.77,0.203,-392.85,11.857,42.988,1.447,0.98844,0.00266,0.4915,50
Jellyfish_360p,MPEG4,500k,500,607.289,640,360,640x360,29.97,10.01001,1022.52,742.06,1.378,27.43,0.19,32.626,1.451,0.90655,0.01655,0.8599,50
Jellyfish_360p,MPEG4,1M,1000,1096.026,640,360,640x360,29.97,10.01001,1022.52,1339.26,0.763,-30.98,0.181,36.258,1.338,0.95048,0.00798,0.8599,50
Jellyfish_360p,MPEG4,2M,2000,2083.796,640,360,640x360,29.97,10.01001,1022.52,2546.24,0.402,-149.02,0.212,39.894,0.971,0.97444,0.00366,0.8599,50
Jellyfish_360p,MPEG4,4M,4000,4075.004,640,360,640x360,29.97,10.01001,1022.52,4979.35,0.205,-386.97,0.253,43.467,0.794,0.98656,0.00178,0.8599,50
Jellyfish_360p,MPEG4,8M,8000,4464.976,640,360,640x360,29.97,10.01001,1022.52,5455.87,0.187,-433.57,0.218,44.003,0.164,0.98786,0.00053,0.8599,50
Jellyfish_360p,H264,500k,500,494.69,640,360,640x360,29.97,10.01001,1022.52,604.47,1.692,40.88,0.98,34.633,0.632,0.94865,0.00563,0.8599,50
Jellyfish_360p,H264,1M,1000,984.057,640,360,640x360,29.97,10.01001,1022.52,1202.44,0.85,-17.6,1.149,39.307,0.878,0.97805,0.00314,0.8599,50
Jellyfish_360p,H264,2M,2000,1951.93,640,360,640x360,29.97,10.01001,1022.52,2385.11,0.429,-133.26,1.591,43.756,0.813,0.98928,0.00125,0.8599,50
Jellyfish_360p,H264,4M,4000,3903.011,640,360,640x360,29.97,10.01001,1022.52,4769.19,0.214,-366.42,2.525,47.488,0.673,0.99426,0.00058,0.8599,50
Jellyfish_360p,H264,8M,8000,7839.121,640,360,640x360,29.97,10.01001,1022.52,9578.82,0.107,-836.79,3.281,51.467,0.906,0.99751,0.00045,0.8599,50
Jellyfish_360p,H265,500k,500,495.868,640,360,640x360,29.97,10.01001,1022.52,605.91,1.688,40.74,3.222,35.689,0.777,0.95306,0.00588,0.8599,50
Jellyfish_360p,H265,1M,1000,991.044,640,360,640x360,29.97,10.01001,1022.52,1210.98,0.844,-18.43,4.547,39.431,0.94,0.97586,0.0035,0.8599,50
Jellyfish_360p,H265,2M,2000,1988.351,640,360,640x360,29.97,10.01001,1022.52,2429.62,0.421,-137.61,5.848,43.621,0.925,0.98802,0.00165,0.8599,50
